time,open,high,low,close,Volume
1556668800,12582823338.60068,13170257138.924562,12181882073.66364,12689863030.55682,2233412363.489282
1556755200,12706525985.12672,13211271140.220541,12241790677.038612,12659009528.204826,2382016760.348429
1556841600,12729707645.39241,13852264521.56884,12000808689.26709,13132821125.563164,2867852264.5311117
1556928000,13129522814.688545,13777566919.790222,12146607022.05668,12888095262.18624,2658335160.393904
1557014400,12854613338.073038,13228032180.775267,12319101269.47725,12703052245.700302,2153644753.9850636
1557100800,12676366608.453882,13273454984.029276,12082317843.106287,12734480670.967928,2581691936.6133327
1557187200,12817512759.050919,13692013294.12492,12134086137.849506,12423618833.487675,2790944048.8323007
1557273600,12393910085.496933,13133206172.813635,11785197097.017002,12618137932.307674,2313724343.4671226
1557360000,12550459678.245155,13258597953.501268,11442725508.189419,12124008058.785769,2536056316.2406797
1557446400,12154657778.959251,13212175281.20069,11500485139.132141,12416898202.323414,2919364736.0954185
1557532800,12428802952.505314,14908228797.479296,11582770258.328783,13508693886.619652,4431829006.886215
1557619200,13464219398.578905,14629505395.678082,12126920440.535458,12986932817.273787,4115535732.9309163
1557705600,13007046496.656208,15585754852.084534,11723764558.030542,13395497516.776361,3922860513.4048414
1557792000,13423972562.560263,15403669237.032778,12733026900.971418,14261163650.405993,4461811485.299658
1557878400,14337304930.799679,16696963815.77797,13852922541.761524,16007892415.05455,4792017201.628785
1557964800,16015083851.77234,17611253583.08292,14294887883.50855,15445053924.520676,6360145986.364692
1558051200,15413658309.182072,16168937212.560188,11924839214.47233,14680013147.68131,5536223001.057042
1558137600,14733694768.591694,15551541105.385101,14058711338.438925,14594054390.12666,4119746957.6722455
1558224000,14594983404.674156,16863858162.622005,13728101536.97256,15725837310.945724,4452912833.515036
1558310400,15953566506.235525,16615960333.46123,14320348595.587772,15583446728.346674,4599361611.78194
1558396800,15531046422.489567,16715827198.958607,14641313634.072884,15731535337.0515,4988816839.390793
1558483200,15797234954.198776,16626777696.929543,14391911369.037561,14936054191.58163,4368119944.103514
1558569600,14950744037.24415,16120545304.264286,14101717865.814137,15332463633.666397,4073830947.981506
1558656000,15400140736.624275,16694860946.862886,14761969985.315346,15523129615.022066,4108088871.934488
1558742400,15581294858.32022,16268529040.060638,14984800385.68619,15569865755.231869,3341750677.0381265
1558828800,15527915639.262972,17308513477.461765,14333000226.462265,16048371998.623844,4517978017.181242
1558915200,16071082828.223068,17211518395.82943,15547527479.029846,16435374097.569674,5216856412.827737
1559001600,16468341350.892136,17374180200.406307,15723179133.426834,16752559780.078611,4636788460.172963
1559088000,16690798951.571865,17700716586.831783,15666600253.329706,16917529471.442207,4791238060.355328
1559174400,16933590182.397804,19271798851.087597,15137675039.375326,16323536772.712685,6548475834.377179
1559260800,16323393938.073399,17661217364.17071,15593766029.71558,17160862170.251265,5160045662.584932
1559347200,17141435376.697674,18076858206.16662,16452722967.74645,17086939475.704704,5215039936.312159
1559433600,17142844841.38905,18466536241.84525,16739126649.100859,17676191415.73463,4640455686.410538
1559520000,17717030369.49583,18438371293.227245,16020767846.955435,16590206156.367157,5130473327.52504
1559606400,16571314979.189674,17231588903.00554,14686683748.304045,15626692411.402267,5449969912.1894
1559692800,15711999051.247116,17130442449.2992,15077405493.718323,16078730461.956581,4794347273.160585
1559779200,16132040669.113152,16825065450.254093,15097407737.944937,16174614256.22997,4085720596.254601
1559865600,16194253496.465319,17563918314.77836,15790602942.943935,16803331599.207937,4217526627.034712
1559952000,16801226839.60601,17530063810.877457,16056513968.0446,16708565309.847124,3886349597.4249845
1560038400,16705460401.76116,17242058479.880005,15425886095.503601,15990127906.599627,3755369533.40549
1560124800,16025581265.539751,17732514421.692276,15528763997.529867,16948678510.886286,4538493609.669825
