time,open,high,low,close,Volume
1526860800,137313284790.17305,139745875158.7873,106159840353.21432,112124417635.11197,50409838043.479
1527465600,113766711314.6116,134026976061.4786,100477808525.90393,129564330397.44785,49024234938.40816
1528070400,130027648153.21994,133467999426.64307,100654018910.37311,105694568791.23187,50689487848.42998
1528675200,105767648698.1908,110278314071.57343,88384775869.97427,96026587321.69585,44934471814.10408
1529280000,96206575319.68616,103456499783.64171,75302012924.36264,83152848956.52548,40693137585.612946
1529884800,83284603346.89462,88918162717.55002,73740905296.50372,84481078026.81,42693673460.08737
1530489600,84285841093.63336,96107127887.32414,82101416604.02156,88245522845.94824,45543691174.15457
1531094400,88217207108.9646,90804796226.73772,75445022110.64539,82786259287.28128,37446633865.13359
1531699200,82717433076.9473,102146777715.38797,81610578236.09479,87096625933.74582,50316242236.58875
1532304000,87102888346.81073,96259629185.37053,82775766439.45847,89703903706.3219,49641359395.42567
1532908800,89666006624.18959,91097698821.53522,74526044725.68855,78431796083.99808,44134944779.484856
1533513600,78461336921.13983,80863108922.38849,56688111093.566666,60240975566.513275,44068414352.031395
1534118400,60281270368.40814,67963875841.21429,48462116996.09826,62818798232.2146,47387401178.4102
1534723200,62821184556.64006,64894217954.96098,55888660090.51941,60751053196.62114,36230693616.02228
1535328000,60786558530.837746,72846964015.56912,59818082775.78377,69893604731.15694,44872207069.64197
1535932800,69818386185.74934,72293054932.7272,52509011678.59673,54926940930.89349,44437970462.70557
1536537600,54951633827.457794,57782915158.95704,49217686310.20501,56122004611.08646,36929028121.99779
1537142400,56172179290.141304,82038054046.93088,51410980232.48022,72718261158.15099,59341052654.415054
1537747200,72728243002.77455,75442525457.30443,60912651405.02715,72471983557.8363,60225653075.450745
1538352000,72453600317.01164,74423059657.2619,65627892287.88187,67921450664.27305,44031115814.03363
1538956800,67943331523.06459,70589736592.34175,55955903373.97925,58537683495.92737,40426880282.754906
1539561600,58529880609.02492,66184726893.89803,56232611193.70778,63593117137.210045,41897207853.21331
1540166400,63584427046.015076,65456177264.74147,61643929142.56358,63299474987.55101,30306438510.369965
1540771200,63380222667.58315,68866058200.40723,59101300170.650764,67017531784.9192,37640124874.58188
1541376000,67074592534.89691,73910250884.76892,65070242906.82064,67199868128.41353,47495635301.9246
1541980800,67226597704.32124,69387070605.67343,51640371061.90822,58650758008.33441,55109216940.55827
1542585600,58758003507.97217,59563071973.57205,34374378754.04064,40403311239.5498,60923112023.18898
1543190400,40302668638.23777,44838870870.60305,35725341409.33233,40377397192.23331,55802467520.51627
